"","species","lon","lat"
"1","Acestrorhynchus_britskii","-45.25472","-18.18917"
"2","Acestrorhynchus_britskii","-43.444991","-13.284186"
"3","Acestrorhynchus_britskii","-45.15000153","-18.63333321"
"4","Acestrorhynchus_britskii","-43.4475","-13.25611111"
"5","Acestrorhynchus_britskii","-44.67555556","-17.61611111"
"6","Acestrorhynchus_britskii","-43.357777","-13.520278"
"7","Acestrorhynchus_britskii","-46.066944","-11.141111"
"8","Acestrorhynchus_britskii","-45.530556","-11.017222"
"9","Acestrorhynchus_britskii","-44.667","-17.602"
"10","Acestrorhynchus_britskii","-43.122222","-11.084444"
"11","Acestrorhynchus_britskii","-43.138889","-11.092222"
"12","Acestrorhynchus_lacustris","-39.82","-14.37"
"13","Acestrorhynchus_lacustris","-52.8666667","-24.75"
"14","Acestrorhynchus_lacustris","-51.4136111","-24.7583333"
"15","Acestrorhynchus_lacustris","-53.2758333","-22.7102778"
"16","Acestrorhynchus_lacustris","-51.8591667","-23.6416667"
"17","Acestrorhynchus_lacustris","-48.5483333","-17.7269444"
"18","Acestrorhynchus_lacustris","-52.8722222","-22.6002778"
"19","Acestrorhynchus_lacustris","-51.8472222","-23.6347222"
"20","Acestrorhynchus_lacustris","-53.5347222","-22.7991667"
"21","Acestrorhynchus_lacustris","-53.5525","-22.8258333"
"22","Acestrorhynchus_lacustris","-53.3588889","-22.7988889"
"23","Acestrorhynchus_lacustris","-53.2530556","-22.7472222"
"24","Acestrorhynchus_lacustris","-48.6811111","-18.3558333"
"25","Acestrorhynchus_lacustris","-48.5588889","-18.1430556"
"26","Acestrorhynchus_lacustris","-48.5313889","-18.59"
"27","Acestrorhynchus_lacustris","-48.6908333","-18.6038889"
"28","Acestrorhynchus_lacustris","-48.3702778","-17.4838889"
"29","Acestrorhynchus_lacustris","-48.1825","-18.6469444"
"30","Acestrorhynchus_lacustris","-48.1483333","-18.2638889"
"31","Acestrorhynchus_lacustris","-49.1894444","-18.4472222"
"32","Acestrorhynchus_lacustris","-48.5702778","-18.1272222"
"33","Acestrorhynchus_lacustris","-48.705","-18.5927778"
"34","Acestrorhynchus_lacustris","-49.2027778","-18.4005556"
"35","Acestrorhynchus_lacustris","-49.8741667","-23.0644444"
"36","Acestrorhynchus_lacustris","-53.8861111","-24.3005556"
"37","Acestrorhynchus_lacustris","-53.2669444","-22.7719444"
"38","Acestrorhynchus_lacustris","-53.2577778","-22.7552778"
"39","Acestrorhynchus_lacustris","-53.2833333","-22.75"
"40","Acestrorhynchus_lacustris","-45.8147222","-8.6541667"
"41","Acestrorhynchus_lacustris","-53.9008333","-24.3505556"
"42","Acestrorhynchus_lacustris","-53.9019","-23.5752"
"43","Acestrorhynchus_lacustris","-50.5213889","-23.1536111"
"44","Acestrorhynchus_lacustris","-54.59166667","-25.55583333"
"45","Acestrorhynchus_lacustris","-54.3077778","-24.1102778"
"46","Acestrorhynchus_lacustris","-54.2166667","-24.6666667"
"47","Acestrorhynchus_lacustris","-54.2","-25.2166667"
"48","Acestrorhynchus_lacustris","-54.2405556","-24.3833333"
"49","Acestrorhynchus_lacustris","-49.1805556","-16.5297222"
"50","Acestrorhynchus_lacustris","-54.2666667","-24.75"
"51","Acestrorhynchus_lacustris","-51.0666667","-25.0333333"
"52","Acestrorhynchus_lacustris","-53.3333333","-22.7166667"
"53","Acestrorhynchus_lacustris","-54.2833333","-23.9"
"54","Acestrorhynchus_lacustris","-53.2666667","-22.75"
"55","Acestrorhynchus_lacustris","-54.35","-24.85"
"56","Acestrorhynchus_lacustris","-48.3458333","-16.2422222"
"57","Acestrorhynchus_lacustris","-48.4205556","-16.2719444"
"58","Acestrorhynchus_lacustris","-53.5688889","-20.6727778"
"59","Acestrorhynchus_lacustris","-54.1833333","-22.9947222"
"60","Acestrorhynchus_lacustris","-53.25","-22.6666667"
"61","Acestrorhynchus_lacustris","-48.5594444","-18.2902778"
"62","Acestrorhynchus_lacustris","-53.2177778","-22.7241667"
"63","Acestrorhynchus_lacustris","-54.2922222","-25.2177778"
"64","Acestrorhynchus_lacustris","-53.2938889","-22.7566667"
"65","Acestrorhynchus_lacustris","-50.3244444","-24.7886111"
"66","Acestrorhynchus_lacustris","-50.0494444","-18.6408333"
"67","Acestrorhynchus_lacustris","-48.5558333","-18.3311111"
"68","Acestrorhynchus_lacustris","-52.5969444","-24.9483333"
"69","Acestrorhynchus_lacustris","-43.119444","-13.960556"
"70","Acestrorhynchus_lacustris","-43.428333","-13.448889"
"71","Acestrorhynchus_lacustris","-43.147778","-14.053333"
"72","Acestrorhynchus_lacustris","-43.907778","-13.297222"
"73","Acestrorhynchus_lacustris","-45.200833","-12.490556"
"74","Acestrorhynchus_lacustris","-45.084444","-12.643333"
"75","Acestrorhynchus_lacustris","-43.443333","-13.5475"
"76","Acestrorhynchus_lacustris","-43.064444","-14.053333"
"77","Acestrorhynchus_lacustris","-45.271111","-12.45"
"78","Acestrorhynchus_lacustris","-39.398056","-14.393056"
"79","Acestrorhynchus_lacustris","-39.422778","-14.357778"
"80","Acestrorhynchus_lacustris","-39.464444","-14.334167"
"81","Acestrorhynchus_lacustris","-39.460278","-14.320556"
"82","Acestrorhynchus_lacustris","-46.970833","-17.494722"
"83","Acestrorhynchus_lacustris","-45.7225","-13.077222"
"84","Acestrorhynchus_lacustris","-41.32861111","-12.66030556"
"85","Acestrorhynchus_lacustris","-41.61940002","-12.24860001"
"86","Acestrorhynchus_lacustris","-42.50439835","-10.0031004"
"87","Acestrorhynchus_lacustris","-41.38999939","-12.56309986"
"88","Acestrorhynchus_lacustris","-37.00329971","-9.970560074"
"89","Acestrorhynchus_lacustris","-39.90940094","-8.990280151"
"90","Acestrorhynchus_lacustris","-54.296667","-20.565556"
"91","Acestrorhynchus_lacustris","-54.239722","-20.494167"
"92","Acestrorhynchus_lacustris","-52.488333","-19.52"
"93","Acestrorhynchus_lacustris","-52.624944","-20.405778"
"94","Acestrorhynchus_lacustris","-52.962222","-22.200111"
"95","Acestrorhynchus_lacustris","-51.784167","-20.8225"
"96","Acestrorhynchus_lacustris","-52.520556","-19.537778"
"97","Acestrorhynchus_lacustris","-52.62279892","-18.7942009"
"98","Acestrorhynchus_lacustris","-52.5075","-19.551667"
"99","Acestrorhynchus_lacustris","-52.525278","-19.490278"
"100","Acestrorhynchus_lacustris","-49.265","-20.41556"
"101","Acestrorhynchus_lacustris","-49.2775","-20.35306"
"102","Acestrorhynchus_lacustris","-49.31417","-20.53389"
"103","Acestrorhynchus_lacustris","-47.50417","-22.29222"
"104","Acestrorhynchus_lacustris","-49.79694","-21.30167"
"105","Acestrorhynchus_lacustris","-50.29472","-21.71611"
"106","Acestrorhynchus_lacustris","-51.83194","-21.31444"
"107","Acestrorhynchus_lacustris","-51.70139","-21.00056"
"108","Acestrorhynchus_lacustris","-50.10556","-17.20611"
"109","Acestrorhynchus_lacustris","-47.70028","-21.55056"
"110","Acestrorhynchus_lacustris","-50.18028","-21.16056"
"111","Acestrorhynchus_lacustris","-49.46389","-20.61667"
"112","Acestrorhynchus_lacustris","-50.92694","-20.51889"
"113","Acestrorhynchus_lacustris","-49.69167","-20.19389"
"114","Acestrorhynchus_lacustris","-49.38722","-20.65667"
"115","Acestrorhynchus_lacustris","-47.76878056","-23.32638889"
"116","Acestrorhynchus_lacustris","-45.25472","-18.18917"
"117","Acestrorhynchus_lacustris","-45.6","-19.91"
"118","Acestrorhynchus_lacustris","-49.40306","-20.64528"
"119","Acestrorhynchus_lacustris","-51.86028","-21.26111"
"120","Acestrorhynchus_lacustris","-50.05778","-20.54056"
"121","Acestrorhynchus_lacustris","-49.95028","-21.46056"
"122","Acestrorhynchus_lacustris","-49.42028","-20.60889"
"123","Acestrorhynchus_lacustris","-56.74639","-20.11722"
"124","Acestrorhynchus_lacustris","-49.23444","-20.8525"
"125","Acestrorhynchus_lacustris","-49.85028","-21.53056"
"126","Acestrorhynchus_lacustris","-50.02139","-20.63139"
"127","Acestrorhynchus_lacustris","-49.36833","-20.80861"
"128","Acestrorhynchus_lacustris","-51.3525","-21.31111"
"129","Acestrorhynchus_lacustris","-51.41306","-20.28528"
"130","Acestrorhynchus_lacustris","-51.245","-20.41389"
"131","Acestrorhynchus_lacustris","-51.19861","-20.27194"
"132","Acestrorhynchus_lacustris","-49.27722","-20.37972"
"133","Acestrorhynchus_lacustris","-49.68556","-20.40222"
"134","Acestrorhynchus_lacustris","-49.19","-21.50583"
"135","Acestrorhynchus_lacustris","-49.45972","-21.02167"
"136","Acestrorhynchus_lacustris","-47.4530556","-17.4236111"
"137","Acestrorhynchus_lacustris","-48.0527778","-18.9083333"
"138","Acestrorhynchus_lacustris","-47.7305556","-19.1291667"
"139","Acestrorhynchus_lacustris","-47.304418","-16.0277"
"140","Acestrorhynchus_lacustris","-54.53416667","-21.91111111"
"141","Acestrorhynchus_lacustris","-48.5244444","-21.8461111"
"142","Acestrorhynchus_lacustris","-44.4166667","-17.2416667"
"143","Acestrorhynchus_lacustris","-48.17","-21.16833333"
"144","Acestrorhynchus_lacustris","-52.2552778","-22.6125"
"145","Acestrorhynchus_lacustris","-47.6377778","-18.1294444"
"146","Acestrorhynchus_lacustris","-47.5219444","-17.3530556"
"147","Acestrorhynchus_lacustris","-47.6741667","-18.0677778"
"148","Acestrorhynchus_lacustris","-47.6788889","-17.9097222"
"149","Acestrorhynchus_lacustris","-47.31638889","-21.94944444"
"150","Acestrorhynchus_lacustris","-45.068333","-16.663889"
"151","Acestrorhynchus_lacustris","-44.3308333","-17.3569444"
"152","Acestrorhynchus_lacustris","-47.8061111","-21.6238889"
"153","Acestrorhynchus_lacustris","-40.97249985","-12.98639965"
"154","Acestrorhynchus_lacustris","-44.89889908","-18.75810051"
"155","Acestrorhynchus_lacustris","-47.308116","-16.056804"
"156","Acestrorhynchus_lacustris","-51.4230556","-21.4130556"
"157","Acestrorhynchus_lacustris","-49.8363889","-21.7325"
"158","Acestrorhynchus_lacustris","-51.9163889","-21.47"
"159","Acestrorhynchus_lacustris","-44.6458333","-17.1319444"
"160","Acestrorhynchus_lacustris","-44.370802","-15.55218"
"161","Acestrorhynchus_lacustris","-44.082689","-14.879642"
"162","Acestrorhynchus_lacustris","-43.429713","-13.250502"
"163","Acestrorhynchus_lacustris","-43.444991","-13.284186"
"164","Acestrorhynchus_lacustris","-43.16126","-15.402648"
"165","Acestrorhynchus_lacustris","-39.470115","-14.269057"
"166","Acestrorhynchus_lacustris","-51.27","-20.99"
"167","Acestrorhynchus_lacustris","-47.16666667","-22.28333333"
"168","Acestrorhynchus_lacustris","-48.68444444","-22.19055556"
"169","Acestrorhynchus_lacustris","-49.98333333","-22.9"
"170","Acestrorhynchus_lacustris","-45.15000153","-18.63333321"
"171","Acestrorhynchus_lacustris","-36.41666794","-10.25"
"172","Acestrorhynchus_lacustris","-44.09194565","-14.65083313"
"173","Acestrorhynchus_lacustris","-44.52833176","-14.23944473"
"174","Acestrorhynchus_lacustris","-42.82500076","-14.21333313"
"175","Acestrorhynchus_lacustris","-43.4475","-13.25611111"
"176","Acestrorhynchus_lacustris","-45.75166667","-20.18916667"
"177","Acestrorhynchus_lacustris","-45.6525","-20.2"
"178","Acestrorhynchus_lacustris","-44.63666667","-15.67166667"
"179","Acestrorhynchus_lacustris","-44.67555556","-17.61611111"
"180","Acestrorhynchus_lacustris","-44.18","-17.9925"
"181","Acestrorhynchus_lacustris","-46.10583333","-15.91694444"
"182","Acestrorhynchus_lacustris","-44.68111038","-19.15999985"
"183","Acestrorhynchus_lacustris","-46.71777725","-18.85972214"
"184","Acestrorhynchus_lacustris","-46.066944","-11.141111"
"185","Acestrorhynchus_lacustris","-45.200001","-17.633333"
"186","Acestrorhynchus_lacustris","-48.751667","-22.147223"
"187","Acestrorhynchus_lacustris","-44.591667","-18.358612"
"188","Acestrorhynchus_lacustris","-47.616665","-22.233334"
"189","Acestrorhynchus_lacustris","-47.383335","-21.916666"
"190","Acestrorhynchus_lacustris","-44.270832","-18.095278"
"191","Acestrorhynchus_lacustris","-45.698334","-10.9275"
"192","Acestrorhynchus_lacustris","-45.530556","-11.017222"
"193","Acestrorhynchus_lacustris","-40.516666","-9.416667"
"194","Acestrorhynchus_lacustris","-44.099998","-17.75"
"195","Acestrorhynchus_lacustris","-42.933334","-15.633333"
"196","Acestrorhynchus_lacustris","-44.528889","-11.006111"
"197","Acestrorhynchus_lacustris","-45.529999","-10.990556"
