"","species","lon","lat"
"1","Acestrorhynchus_britskii",-45.25472,-18.18917
"2","Acestrorhynchus_britskii",-43.444991,-13.284186
"3","Acestrorhynchus_britskii",-45.15000153,-18.63333321
"4","Acestrorhynchus_britskii",-43.4475,-13.25611111
"5","Acestrorhynchus_britskii",-44.67555556,-17.61611111
"6","Acestrorhynchus_britskii",-43.357777,-13.520278
"7","Acestrorhynchus_britskii",-46.066944,-11.141111
"8","Acestrorhynchus_britskii",-45.530556,-11.017222
"9","Acestrorhynchus_britskii",-44.667,-17.602
"10","Acestrorhynchus_britskii",-43.122222,-11.084444
"11","Acestrorhynchus_britskii",-43.138889,-11.092222
"12","Acestrorhynchus_lacustris",-48.5483333,-17.7269444
"13","Acestrorhynchus_lacustris",-48.5588889,-18.1430556
"14","Acestrorhynchus_lacustris",-48.3702778,-17.4838889
"15","Acestrorhynchus_lacustris",-48.1825,-18.6469444
"16","Acestrorhynchus_lacustris",-48.1483333,-18.2638889
"17","Acestrorhynchus_lacustris",-48.5702778,-18.1272222
"18","Acestrorhynchus_lacustris",-48.3458333,-16.2422222
"19","Acestrorhynchus_lacustris",-48.4205556,-16.2719444
"20","Acestrorhynchus_lacustris",-48.5594444,-18.2902778
"21","Acestrorhynchus_lacustris",-48.5558333,-18.3311111
"22","Acestrorhynchus_lacustris",-43.119444,-13.960556
"23","Acestrorhynchus_lacustris",-43.428333,-13.448889
"24","Acestrorhynchus_lacustris",-43.147778,-14.053333
"25","Acestrorhynchus_lacustris",-43.907778,-13.297222
"26","Acestrorhynchus_lacustris",-45.200833,-12.490556
"27","Acestrorhynchus_lacustris",-45.084444,-12.643333
"28","Acestrorhynchus_lacustris",-43.443333,-13.5475
"29","Acestrorhynchus_lacustris",-43.064444,-14.053333
"30","Acestrorhynchus_lacustris",-45.271111,-12.45
"31","Acestrorhynchus_lacustris",-46.970833,-17.494722
"32","Acestrorhynchus_lacustris",-45.7225,-13.077222
"33","Acestrorhynchus_lacustris",-41.32861111,-12.66030556
"34","Acestrorhynchus_lacustris",-41.61940002,-12.24860001
"35","Acestrorhynchus_lacustris",-42.50439835,-10.0031004
"36","Acestrorhynchus_lacustris",-41.38999939,-12.56309986
"37","Acestrorhynchus_lacustris",-37.00329971,-9.970560074
"38","Acestrorhynchus_lacustris",-39.90940094,-8.990280151
"39","Acestrorhynchus_lacustris",-45.25472,-18.18917
"40","Acestrorhynchus_lacustris",-45.6,-19.91
"41","Acestrorhynchus_lacustris",-47.4530556,-17.4236111
"42","Acestrorhynchus_lacustris",-48.0527778,-18.9083333
"43","Acestrorhynchus_lacustris",-47.7305556,-19.1291667
"44","Acestrorhynchus_lacustris",-47.304418,-16.0277
"45","Acestrorhynchus_lacustris",-44.4166667,-17.2416667
"46","Acestrorhynchus_lacustris",-47.6377778,-18.1294444
"47","Acestrorhynchus_lacustris",-47.5219444,-17.3530556
"48","Acestrorhynchus_lacustris",-47.6741667,-18.0677778
"49","Acestrorhynchus_lacustris",-47.6788889,-17.9097222
"50","Acestrorhynchus_lacustris",-45.068333,-16.663889
"51","Acestrorhynchus_lacustris",-44.3308333,-17.3569444
"52","Acestrorhynchus_lacustris",-40.97249985,-12.98639965
"53","Acestrorhynchus_lacustris",-44.89889908,-18.75810051
"54","Acestrorhynchus_lacustris",-47.308116,-16.056804
"55","Acestrorhynchus_lacustris",-44.6458333,-17.1319444
"56","Acestrorhynchus_lacustris",-44.370802,-15.55218
"57","Acestrorhynchus_lacustris",-44.082689,-14.879642
"58","Acestrorhynchus_lacustris",-43.429713,-13.250502
"59","Acestrorhynchus_lacustris",-43.444991,-13.284186
"60","Acestrorhynchus_lacustris",-43.16126,-15.402648
"61","Acestrorhynchus_lacustris",-45.15000153,-18.63333321
"62","Acestrorhynchus_lacustris",-36.41666794,-10.25
"63","Acestrorhynchus_lacustris",-44.09194565,-14.65083313
"64","Acestrorhynchus_lacustris",-44.52833176,-14.23944473
"65","Acestrorhynchus_lacustris",-42.82500076,-14.21333313
"66","Acestrorhynchus_lacustris",-43.4475,-13.25611111
"67","Acestrorhynchus_lacustris",-45.75166667,-20.18916667
"68","Acestrorhynchus_lacustris",-45.6525,-20.2
"69","Acestrorhynchus_lacustris",-44.63666667,-15.67166667
"70","Acestrorhynchus_lacustris",-44.67555556,-17.61611111
"71","Acestrorhynchus_lacustris",-44.18,-17.9925
"72","Acestrorhynchus_lacustris",-46.10583333,-15.91694444
"73","Acestrorhynchus_lacustris",-44.68111038,-19.15999985
"74","Acestrorhynchus_lacustris",-46.71777725,-18.85972214
"75","Acestrorhynchus_lacustris",-46.066944,-11.141111
"76","Acestrorhynchus_lacustris",-45.200001,-17.633333
"77","Acestrorhynchus_lacustris",-44.591667,-18.358612
"78","Acestrorhynchus_lacustris",-44.270832,-18.095278
"79","Acestrorhynchus_lacustris",-45.698334,-10.9275
"80","Acestrorhynchus_lacustris",-45.530556,-11.017222
"81","Acestrorhynchus_lacustris",-40.516666,-9.416667
"82","Acestrorhynchus_lacustris",-44.099998,-17.75
"83","Acestrorhynchus_lacustris",-42.933334,-15.633333
"84","Acestrorhynchus_lacustris",-44.528889,-11.006111
"85","Acestrorhynchus_lacustris",-45.529999,-10.990556
"86","Acestrorhynchus_lacustris",-45.54361,-10.977777
"87","Acestrorhynchus_lacustris",-43.357777,-13.520278
"88","Acestrorhynchus_lacustris",-41.614166,-13.573055
"89","Acestrorhynchus_lacustris",-44.188889,-18.415556
"90","Acestrorhynchus_lacustris",-43.430278,-13.458333
"91","Acestrorhynchus_lacustris",-43.439167,-13.486944
"92","Acestrorhynchus_lacustris",-44.28683333,-17.32047222
"93","Acestrorhynchus_lacustris",-45.69,-16.15
"94","Acestrorhynchus_lacustris",-44.17,-17.98
"95","Acestrorhynchus_lacustris",-44.67,-17.6
"96","Acestrorhynchus_lacustris",-47.117778,-16.837222
"97","Acestrorhynchus_lacustris",-47.382222,-17.141667
"98","Acestrorhynchus_lacustris",-47.4575,-16.505
"99","Acestrorhynchus_lacustris",-47.280278,-17.13
"100","Acestrorhynchus_lacustris",-47.208056,-16.869444
"101","Acestrorhynchus_lacustris",-43.220556,-10.854167
"102","Acestrorhynchus_lacustris",-43.138889,-11.092222
"103","Acestrorhynchus_lacustris",-41.533333,-12.533333
"104","Acestrorhynchus_lacustris",-41.376389,-12.621944
"105","Acestrorhynchus_lacustris",-41.357222,-12.700278
"106","Acestrorhynchus_lacustris",-47.415833,-16.383056
"107","Acestrorhynchus_lacustris",-47.348889,-16.270833
"108","Acestrorhynchus_lacustris",-47.197222,-15.984167
"109","Acestrorhynchus_lacustris",-47.331389,-16.031944
"110","Acinocheirodon_melanogramma",-43.82583,-17.1475
"111","Acinocheirodon_melanogramma",-43.83000183,-17.09194374
"112","Acinocheirodon_melanogramma",-44.03333282,-17.46666718
"113","Acinocheirodon_melanogramma",-42.03333282,-16.79999924
"114","Acinocheirodon_melanogramma",-42.03333282,-16.76666641
"115","Acinocheirodon_melanogramma",-44.099998,-17.75
"116","Acratosaura_mentalis",-41.7728,-13.1519
"117","Acratosaura_mentalis",-42.5397,-15.6097
"118","Acratosaura_mentalis",-42.475,-14.0694
"119","Acratosaura_mentalis",-43.71440125,-19.16889954
"120","Acratosaura_mentalis",-42.476944,-11.831944
"121","Acratosaura_mentalis",-41.558611,-12.528889
"122","Acratosaura_mentalis",-41.468333,-11.693889
"123","Acratosaura_mentalis",-40.189444,-10.461389
"124","Aeschynomene_soniae",-42.23889923,-13.44250011
"125","Aeschynomene_soniae",-41.75,-13.88333
"126","Aeschynomene_soniae",-41.84305556,-13.63666667
"127","Aeschynomene_soniae",-41.78,-13.79
"128","Alectrurus_tricolor",-46.440384,-20.396123
"129","Alectrurus_tricolor",-46.4763,-20.2183
"130","Alectrurus_tricolor",-47.51,-14.132778
"131","Alectrurus_tricolor",-46.495514,-20.250602
"132","Alectrurus_tricolor",-47.504159,-14.318602
"133","Alectrurus_tricolor",-46.527598,-20.313228
"134","Alectrurus_tricolor",-46.446911,-20.243354
"135","Alectrurus_tricolor",-46.572682,-20.200149
"136","Alectrurus_tricolor",-46.406473,-20.260106
"137","Alectrurus_tricolor",-46.545423,-20.2426
"138","Alectrurus_tricolor",-46.5712,-20.246828
"139","Alectrurus_tricolor",-46.468703,-20.243693
"140","Alectrurus_tricolor",-47.986739,-19.700324
"141","Alectrurus_tricolor",-44.335963,-21.413412
"142","Alectrurus_tricolor",-46.55117,-20.253923
"143","Alectrurus_tricolor",-43.921549,-14.927654
"144","Alectrurus_tricolor",-46.773155,-20.140727
"145","Alectrurus_tricolor",-46.408353,-20.546812
"146","Alectrurus_tricolor",-46.808395,-20.138682
"147","Alectrurus_tricolor",-46.681711,-20.168022
"148","Alectrurus_tricolor",-44.550376,-21.513781
"149","Alectrurus_tricolor",-47.485405,-14.290052
"150","Alectrurus_tricolor",-47.62629,-14.137158
"151","Alectrurus_tricolor",-47.915969,-19.364596
"152","Alectrurus_tricolor",-47.895627,-19.372126
"153","Alectrurus_tricolor",-47.493392,-14.296482
"154","Alectrurus_tricolor",-46.368814,-20.244165
"155","Alectrurus_tricolor",-47.625883,-14.150308
"156","Alectrurus_tricolor",-46.519076,-20.291933
"157","Alectrurus_tricolor",-46.417855,-20.32635
"158","Alectrurus_tricolor",-47.652876,-14.12896
"159","Alectrurus_tricolor",-46.912976,-20.13491
"160","Alectrurus_tricolor",-46.663066,-20.152511
"161","Alectrurus_tricolor",-46.987417,-20.112113
"162","Alectrurus_tricolor",-47.486515,-14.208749
"163","Alectrurus_tricolor",-46.46374,-20.22293
"164","Alectrurus_tricolor",-47.46885,-14.244314
"165","Alectrurus_tricolor",-47.884555,-19.387753
"166","Alectrurus_tricolor",-46.6421,-20.211
"167","Alectrurus_tricolor",-46.731582,-20.051776
"168","Alectrurus_tricolor",-46.556282,-20.224413
"169","Alectrurus_tricolor",-47.709833,-14.110869
"170","Alectrurus_tricolor",-47.789961,-14.160707
"171","Alectrurus_tricolor",-46.509,-20.3241
"172","Alectrurus_tricolor",-46.538086,-20.263228
"173","Alipiopsitta_xanthops",-47.75059891,-11.61690044
"174","Alipiopsitta_xanthops",-47.33440018,-15.53719997
"175","Alipiopsitta_xanthops",-46.545503,-15.637576
"176","Alipiopsitta_xanthops",-47.513506,-14.138748
"177","Alipiopsitta_xanthops",-46.769567,-18.997607
"178","Alipiopsitta_xanthops",-46.937996,-19.006348
"179","Alipiopsitta_xanthops",-47.697508,-15.588358
"180","Alipiopsitta_xanthops",-47.826435,-15.672544
"181","Alipiopsitta_xanthops",-46.527598,-20.313228
"182","Alipiopsitta_xanthops",-46.310815,-16.133223
"183","Alipiopsitta_xanthops",-47.504159,-14.318602
"184","Alipiopsitta_xanthops",-47.392858,-19.882066
"185","Alipiopsitta_xanthops",-47.821543,-15.825589
"186","Alipiopsitta_xanthops",-47.486745,-19.962016
"187","Alipiopsitta_xanthops",-48.852607,-15.779059
"188","Alipiopsitta_xanthops",-47.721115,-15.841187
"189","Alipiopsitta_xanthops",-46.495514,-20.250602
"190","Alipiopsitta_xanthops",-46.4763,-20.2183
"191","Alipiopsitta_xanthops",-46.414103,-20.329175
"192","Alipiopsitta_xanthops",-44.1928,-17.876748
"193","Alipiopsitta_xanthops",-47.95979,-15.509768
"194","Alipiopsitta_xanthops",-46.827693,-19.012266
"195","Alipiopsitta_xanthops",-47.699118,-15.661966
"196","Alipiopsitta_xanthops",-45.081297,-16.659974
"197","Alipiopsitta_xanthops",-46.812819,-19.007604
"198","Alipiopsitta_xanthops",-47.732338,-15.838354
"199","Alipiopsitta_xanthops",-48.020683,-15.582827
"200","Alipiopsitta_xanthops",-46.354723,-11.831865
"201","Alipiopsitta_xanthops",-47.859862,-18.032188
"202","Alipiopsitta_xanthops",-46.207766,-16.048865
"203","Alipiopsitta_xanthops",-47.934026,-15.948571
"204","Alipiopsitta_xanthops",-46.798396,-12.926838
"205","Alipiopsitta_xanthops",-46.42931,-20.147062
"206","Alipiopsitta_xanthops",-47.360284,-15.649694
"207","Alipiopsitta_xanthops",-47.527376,-14.135825
"208","Alipiopsitta_xanthops",-46.851906,-19.434656
"209","Alipiopsitta_xanthops",-46.509,-20.3241
"210","Alipiopsitta_xanthops",-47.2546,-16.476228
"211","Alipiopsitta_xanthops",-47.504363,-15.449741
"212","Alipiopsitta_xanthops",-46.55117,-20.253923
"213","Alipiopsitta_xanthops",-47.53515,-14.145517
