species,n
Acestrorhynchus_britskii,11
Acestrorhynchus_lacustris,262
Acinocheirodon_melanogramma,11
Acratosaura_mentalis,8
Adelophryne_baturitensis,5
Aeschynomene_soniae,4
Alectrurus_tricolor,97
Alipiopsitta_xanthops,192
Alouatta_caraya,172
Alvimiantha_tricamerata,29
Amazona_rhodocorytha,103
Amburana_cearensis,426
Ameiva_ameiva,534
Ameivula_nigrigula,4
Ameivula_ocellifera,49
Anchoviela_lepidentostole,1
Anchoviella_hubbsi,1
Anchoviella_lepidentostole,81
Anchoviella_vaillanti,21
Annona_spinescens,32
Anodorhynchus_hyacinthinus,142
Anodorhynchus_leari,60
Anopetia_gounellei,89
Antilophia_galeata,195
Apareiodon_hasemani,36
Apareiodon_piracicabae,43
Apterokarpos_gardneri,46
Apteronotus_brasiliensis,5
Arremon_franciscanus,27
Astyanax_lacustris,756
Augastes_lumachella,43
Augastes_scutatus,60
Automolus_lammi,15
Automolus_leucophthalmus_,187
Barnebya_harleyi,72
Bergiaria_westermanni,13
Blanchetia_heterotricha,115
Boana_albomarginata,74
Boana_albopunctata,246
Boana_cipoensis,5
Boana_crepitans,234
Boana_faber,187
Boana_lundii,85
Boana_polytaenia,47
Boana_raniceps,299
Bokermannohyla_alvarengai,23
Bokermannohyla_diamantina,5
Bokermannohyla_itapoty,4
Bokermannohyla_nanuzae,19
Bokermannohyla_oxente,10
Bokermannohyla_saxicola,31
Brasiliopuntia_brasiliensis,208
Briba_brasiliana,2
Brycon_nattereri,79
Brycon_orthotaenia,31
Bunocephalus_minerim,8
Cabassous_tatouay,10
Cabassous_unicinctus,54
Caiman_latirostris,101
Calliandra_aeschynomenoides,41
Calliandra_leptopoda,53
Calliandra_macrocalyx,147
Callithrix_penicillata,136
Caryothraustes_canadensis_,170
Cattleya_elongata,61
Cavia_aperea,214
Cephalosilurus_fowleri,8
Cercosaura_ocellata,92
Cerdocyon_thous,71
Cetopsis_gobioide,1
Cetopsis_gobioides,63
Cetopsorhamdia_iheringi,380
Characidium_fasciadorsale,1
Characidium_fasciatum,138
Characidium_zebra,926
Chrysocyon_brachyurus,145
Cichlasoma_sanctifranciscense,119
Coleodactylus_brachystoma,15
Coleodactylus_meridionalis,9
Compsura_heterura,75
Conopophaga_cearae,53
Conopophaga_lineata,231
Conopophaga_melanops_,148
Conorhynchos_conirostris,6
Copeoglossum_nigropunctatum,79
Cordia_glazioviana,100
Corydoras_difluviatilis,87
Corydoras_garbei,33
Corydoras_lymnades,11
Corydoras_multimaculatus,15
Corythomantis_greeningi,21
Crenicichla_edithae,6
Crenicichla_lepidota,565
Crossodactylus_trachystomus,5
Crumenaria_decumbens,94
Crypturellus_noctivagus_,137
Culicivora_caudacuta,159
Cuphea_bahiensis,28
Cuphea_circaeoides,96
Cuphea_pulchra,145
Curimatella_lepidura,68
Cyphocharax_gilbert,173
Dasyprocta_azarae,113
Dasypus_septemcinctus,36
Dendropsophus_branneri,83
Dendropsophus_oliveirai_,18
Dendropsophus_rubicundulus,70
Dendropsophus_soaresi,21
Dermatonotus_muelleri,149
Deuterodon_taeniatus,120
Diatenopteryx_grazielae,25
Didelphis_albiventris,217
Diploglossus_lessonae,5
Diplusodon_epilobioides,22
Diplusodon_quintuplinervius,34
Dryadosaura_nordestina,3
Duopalatinus_emarginatus,12
Eigenmannia_microstomus,31
Elachistocleis_cesarii,77
Elachistocleis_piauiensis,7
Embernagra_longicauda,53
Enterolobium_gummiferum,215
Enyalius_bibronii,4
Enyalius_catenatus,15
Enyalius_pictus,6
Erythrolamprus_viridis,10
Eumops_perotis,48
Euryoryzomys_russatus,25
Formicivora_grantsaui,21
Formicivora_iheringi,46
Franciscodoras_marmoratus,6
Fraunhofera_multiflora,84
Furipterus_horrens,35
Galea_spixii,4
Galictis_cuja,106
Geophagus_brasiliensis,1710
Geositta_poeciloptera,50
Glischrothamnus_ulei,25
Godmania_dardanoi,84
Gorceixia_decurrens,23
Gracilinanus_agilis,60
Gymnodactylus_geckoides,10
Harpalyce_parvifolia,16
Harpochilus_neesianus,116
Harttia_leiopleura,6
Harttia_longipinna,14
Harttia_novalimensis,13
Harttia_torrenticola,7
Hemidactylus_brasilianus,8
Hemigrammus_brevis,38
Hemigrammus_gracilis_,93
Hemigrammus_marginatus,518
Hemipsilichthys_mutuca,3
Hemitriccus_mirandae,18
Herpsilochmus_longirostris,172
Herpsilochmus_pectoralis,60
Herpsilochmus_sellowi,120
Hisonotus_bocaiuva,5
Hisonotus_vespuccii,27
Histiotus_velatus,39
Holoregmia_viscida,37
Hoplerythrinus_unitaeniatus,361
Hoplias_intermedius,38
Hoplias_microcephalus,4
Hoplosternum_littorale,425
Hylaeamys_megacephalus,109
Hyphessobrycon_diastatos,7
Hyphessobrycon_micropterus,11
Hyphessobrycon_santae,14
Hypostomus_alatus,23
Hypostomus_francisci,60
Hypostomus_garmani,11
Hypostomus_lima,26
Hypostomus_macrops,23
Hypostomus_margaritifer,72
Hypsolebias_hellneri,1
Hysteronotus_megalostomus,30
